Sun, 01 Nov 2020 04:43:03 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/12345/tasks | {} | 401 | 0.889 ms
Sun, 01 Nov 2020 04:43:03 GMT | PUT | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/12345/tasks/12345 | {} | 401 | 0.626 ms
Sun, 01 Nov 2020 04:43:03 GMT | DELETE | {} | /boards/12345/tasks/12345 | {} | 401 | 0.770 ms
Mon, 02 Nov 2020 22:02:32 GMT | GET | {} | /users | {} | 401 | 17.653 ms
Mon, 02 Nov 2020 22:02:32 GMT | GET | {} | /users/123 | {} | 401 | 1.054 ms
Mon, 02 Nov 2020 22:02:32 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 401 | 0.812 ms
Mon, 02 Nov 2020 22:02:32 GMT | PUT | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users/12345 | {} | 401 | 0.871 ms
Mon, 02 Nov 2020 22:02:32 GMT | DELETE | {} | /users/12345 | {} | 401 | 0.850 ms
Mon, 02 Nov 2020 22:02:32 GMT | POST | {"login":"admin","password":"*******"} | /login | {} | 200 | 359.036 ms
Mon, 02 Nov 2020 22:02:32 GMT | POST | {"login":"admin","password":"*******"} | /login | {} | 200 | 413.285 ms
Mon, 02 Nov 2020 22:02:32 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 196.596 ms
Mon, 02 Nov 2020 22:02:32 GMT | GET | {} | /users | {} | 200 | 115.966 ms
Mon, 02 Nov 2020 22:02:32 GMT | GET | {} | /boards | {} | 200 | 95.278 ms
Mon, 02 Nov 2020 22:02:33 GMT | GET | {} | /boards | {} | 200 | 97.849 ms
Mon, 02 Nov 2020 22:02:33 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 301.562 ms
Mon, 02 Nov 2020 22:02:33 GMT | GET | {} | /boards/90b1a2a8-6d5a-44c8-b835-d9aa64955c51 | {"id":"90b1a2a8-6d5a-44c8-b835-d9aa64955c51"} | 200 | 168.484 ms
Mon, 02 Nov 2020 22:02:33 GMT | GET | {} | /users/3c272d3e-43c6-4f55-8074-a94d3fc62e92 | {"id":"3c272d3e-43c6-4f55-8074-a94d3fc62e92"} | 200 | 75.746 ms
Mon, 02 Nov 2020 22:02:33 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 117.356 ms
Mon, 02 Nov 2020 22:02:33 GMT | DELETE | {} | /users/3c272d3e-43c6-4f55-8074-a94d3fc62e92 | {"id":"3c272d3e-43c6-4f55-8074-a94d3fc62e92"} | 204 | 182.476 ms
Mon, 02 Nov 2020 22:02:33 GMT | DELETE | {} | /boards/50dc99e4-fa5b-4788-a488-cc8f79e0f189 | {"id":"50dc99e4-fa5b-4788-a488-cc8f79e0f189"} | 204 | 179.946 ms
Mon, 02 Nov 2020 22:02:34 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 92.277 ms
Mon, 02 Nov 2020 22:02:34 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 420.346 ms
